County Name	No. Cities	Total Pop.	Avg. Pop.	Largest City	Population
Bell	2	213,083	106,541	Killeen	140,806
Bexar	1	1,469,845	1,469,845	San Antonio	1,469,845
Brazoria	1	108,821	108,821	Pearland	108,821
Brazos	2	190,007	95,003	College Station	107,889
Cameron	2	249,661	124,830	Brownsville	183,887
Collin	3	415,448	138,482	McKinney	162,898
Comal	1	70,543	70,543	New Braunfels	70,543
Dallas	8	2,329,730	291,216	Dallas	1,300,092
Denton	5	723,062	144,612	Plano	283,558
Ector	1	118,968	118,968	Odessa	118,968
El Paso	1	681,124	681,124	El Paso	681,124
Fort Bend	2	162,295	81,147	Sugar Land	88,156
Galveston	2	148,492	74,246	League City	98,312
Gregg	1	82,287	82,287	Longview	82,287
Harris	4	2,492,701	623,175	Houston	2,296,224
Hays	1	60,684	60,684	San Marcos	60,684
Hidalgo	4	384,602	96,150	McAllen	140,269
Jefferson	2	173,469	86,734	Beaumont	118,129
Lubbock	1	249,042	249,042	Lubbock	249,042
McLennan	1	132,356	132,356	Waco	132,356
Midland	1	132,950	132,950	Midland	132,950
Montgomery	2	181,107	90,553	The Woodlands	112,505
Nueces	1	324,074	324,074	Corpus Christi	324,074
Pasadena	1	153,784	153,784	Pasadena	153,784
Potter	1	198,645	198,645	Amarillo	198,645
Smith	1	103,700	103,700	Tyler	103,700
Tarrant	6	1,460,545	243,424	Fort Worth	833,319
Taylor	1	121,721	121,721	Abilene	121,721
Tom Green	1	100,450	100,450	San Angelo	100,450
Travis	2	988,942	494,471	Austin	931,820
Victoria	1	67,574	67,574	Victoria	67,574
Webb	1	255,473	255,473	Laredo	255,473
Wichita	1	104,710	104,710	Wichita Falls	104,710
Williamson	3	245,658	81,886	Round Rock	115,997
