County name	County Pop.	City Name	City Pop.	No. of Zip Codes
Anderson County	41,169	Cayuga	199	1
Anderson County	41,169	Elkhart	4,460	1
Anderson County	41,169	Frankston	4,830	1
Anderson County	41,169	Montalba	850	1
Anderson County	41,169	Neches	484	1
Anderson County	41,169	Palestine	28,771	4
Anderson County	41,169	Tennessee Colony	1,575	4
Andrews County	17,350	Andrews	17,350	1
Angelina County	77,359	Diboll	7,120	1
Angelina County	77,359	Huntington	6,910	1
Angelina County	77,359	Lufkin	58,269	5
Angelina County	77,359	Pollok	3,120	1
Angelina County	77,359	Zavalla	1,940	1
Aransas County	19,724	Fulton	2,354	1
Aransas County	19,724	Rockport	17,370	2
Archer County	5,745	Archer City	1,720	1
Archer County	5,745	Holliday	1,960	1
Archer County	5,745	Megargel	295	1
Archer County	5,745	Scotland	450	1
Archer County	5,745	Windthorst	1,320	1
Armstrong County	1,677	Claude	1,610	1
Armstrong County	1,677	Wayside	67	1
Atascosa County	44,002	Campbellton	260	1
Atascosa County	44,002	Charlotte	1,900	1
Atascosa County	44,002	Christine	450	1
Atascosa County	44,002	Jourdanton	5,550	1
Atascosa County	44,002	Leming	1,172	1
Atascosa County	44,002	Lytle	6,990	1
Atascosa County	44,002	Peggy	0	1
Atascosa County	44,002	Pleasanton	13,470	1
Atascosa County	44,002	Poteet	9,580	1
Atascosa County	44,002	Somerset	4,630	1
Austin County	28,262	Bellville	8,810	1
Austin County	28,262	Bleiblerville	240	1
Austin County	28,262	Industry	620	1
Austin County	28,262	Kenney	222	1
Austin County	28,262	New Ulm	1,780	1
Austin County	28,262	San Felipe	490	1
Austin County	28,262	Sealy	13,140	1
Austin County	28,262	Wallis	2,960	1
Bailey County	7,714	Enochs	54	1
Bailey County	7,714	Maple	30	1
Bailey County	7,714	Muleshoe	7,630	1
Bandera County	17,189	Bandera	7,770	1
Bandera County	17,189	Medina	1,310	1
Bandera County	17,189	Pipe Creek	7,730	1
Bandera County	17,189	Tarpley	230	1
Bandera County	17,189	Vanderpool	149	1
Bastrop County	72,260	Bastrop	23,720	1
Bastrop County	72,260	Cedar Creek	12,470	1
Bastrop County	72,260	Elgin	21,410	1
Bastrop County	72,260	Mc Dade	1,370	1
Bastrop County	72,260	Paige	2,510	1
Bastrop County	72,260	Red Rock	2,110	1
Bastrop County	72,260	Rosanky	1,010	1
Bastrop County	72,260	Smithville	7,660	1
Baylor County	2,940	Seymour	2,940	1
Bee County	22,551	Beeville	18,951	2
Bee County	22,551	Mineral	145	1
Bee County	22,551	Normanna	230	1
Bee County	22,551	Pawnee	227	1
Bee County	22,551	Pettus	675	1
Bee County	22,551	Skidmore	1,670	1
Bee County	22,551	Tuleta	373	1
Bee County	22,551	Tynan	280	1
Bell County	311,705	Belton	33,020	1
Bell County	311,705	Burlington	490	1
Bell County	311,705	Fort Hood	23,160	1
Bell County	311,705	Harker Heights	27,060	1
Bell County	311,705	Heidenheimer	217	1
Bell County	311,705	Holland	2,440	1
Bell County	311,705	Killeen	133,741	7
Bell County	311,705	Little River Academy	2,100	1
Bell County	311,705	Nolanville	4,880	1
Bell County	311,705	Pendleton	202	1
Bell County	311,705	Rogers	2,510	1
Bell County	311,705	Salado	7,270	1
Bell County	311,705	Temple	70,005	6
Bell County	311,705	Troy	4,610	1
Bexar County	1,658,879	Adkins	7,890	1
Bexar County	1,658,879	Atascosa	6,860	1
Bexar County	1,658,879	Boerne	13,970	1
