Zip Code	No. Homes	Ave Price	Ave Sqft	Ave Beds	Ave Baths	Ave $/SqFt	Ave DOM	Ave YrBlt	Ave HOA
75019	3	$568,333	3,617	4.3	4.0	$157.11	2.3	1995	$26.67
75022	2	$444,000	3,223	3.5	3.0	$137.74	1.0	1996	$25.00
75028	7	$355,614	2,298	3.3	2.4	$154.71	7.6	1996	$22.00
75038	5	$204,480	1,698	2.8	2.6	$120.42	2.2	1987	$173.80
75050	4	$134,975	1,494	2.8	1.8	$90.33	2.0	1968	$31.25
75051	2	$182,450	1,797	3.0	2.0	$101.53	2.0	1983	$.00
75052	5	$259,000	2,297	3.4	2.2	$112.72	1.4	1988	$3.80
75060	2	$182,450	1,469	3.0	2.0	$124.16	1.5	1976	$.00
75061	2	$208,700	1,956	3.5	2.2	$106.7	1.0	1978	$.00
75062	4	$193,625	1,765	3.5	2.2	$109.67	1.5	1962	$.00
75063	3	$523,317	2,964	4.3	3.2	$176.54	1.0	2014	$136.00
75067	3	$265,000	2,336	3.7	2.3	$113.41	1.7	1993	$6.33
75077	4	$325,125	2,861	4.5	2.9	$113.63	2.0	1996	$6.25
76001	4	$212,500	2,242	3.5	2.2	$94.75	2.8	1994	$.00
76002	5	$226,580	2,568	3.8	2.2	$88.2	3.0	2003	$11.40
76005	2	$365,945	2,160	3.0	2.8	$169.42	1.5	2016	$151.00
76006	2	$217,250	2,074	2.5	2.5	$104.75	3.0	1992	$145.00
76008	68	$502,219	3,360	3.9	3.3	$149.45	36.7	2008	$49.49
76010	3	$144,966	1,514	3.3	2.0	$95.73	2.7	1972	$.00
76011	2	$287,499	2,525	4.0	3.2	$113.84	2.5	1975	$1.00
76012	6	$252,900	2,275	3.3	2.2	$111.12	1.7	1978	$7.17
76013	2	$269,500	2,269	4.0	2.5	$118.77	1.5	1971	$.00
76015	2	$383,000	3,308	3.5	2.8	$115.76	53.0	1989	$.00
76016	10	$314,388	2,619	3.5	2.6	$120.02	3.6	1994	$23.30
76017	6	$203,500	1,990	3.3	2.3	$102.26	2.0	1986	$.00
76018	2	$188,250	1,411	3.0	1.5	$133.42	3.5	1994	$.00
76020	1	$249,000	2,335	3.0	2.0	$106.64	1.0	1984	$17.00
76021	3	$248,266	1,882	2.7	2.3	$131.92	2.0	1986	$41.00
76022	3	$208,133	1,990	3.3	2.0	$104.59	3.0	1975	$.00
76028	152	$283,852	2,498	3.6	2.5	$113.62	39.1	2005	$10.40
76034	8	$613,275	3,702	3.8	3.6	$165.62	6.0	1994	$15.00
76036	54	$288,364	2,624	3.7	2.6	$109.89	34.6	2010	$31.13
76039	2	$134,500	1,099	3.0	1.5	$122.33	2.0	1964	$.00
76040	5	$275,800	2,237	3.4	2.5	$123.26	2.0	1989	$12.60
