Single Family Residential,100 Oak Hollow Ct S,Azle,76020,249000,3,2,Timberlake Estates Add,2335,12197,1984,1,107,17
Single Family Residential,100 River Crest Ct,Aledo,76008,589999,5,4,Shady Oaks,4212,87120,2002,52,140,54
Single Family Residential,100 Spur Ct,Aledo,76008,333900,4,2.5,Prairie Ridge,2239,43560,2005,22,149,63
Single Family Residential,1000 Merion Dr,Fort Worth,76126,329990,4,2.5,Thomas Crossing,2727,6970,2017,197,121,8
Single Family Residential,1000 Pebblecreek Dr,Burleson,76028,229000,3,2.5,West Bend South,2432,8364,2006,88,94,17
Single Family Residential,1000 Spring Mill Dr,Roanoke,76262,540826,3,2.5,Fairway Ranch,2960,1,2016,61,183,55
Single Family Residential,10000 Crawford Farms Dr,Fort Worth,76244,380000,4,3.5,Crawford Farms Add,3182,7841,2006,6,119,40
Single Family Residential,10001 TULE LAKE Rd,Fort Worth,76177,311145,4,2.5,Tehama Bluffs,2612,1,2017,136,119,34
Single Family Residential,10004 TULE LAKE Rd,Fort Worth,76177,291265,3,2,Tehama Bluffs,2126,5489,2017,54,137,34
Single Family Residential,10008 BODEGA BAY Rd,Fort Worth,76177,325995,4,3.5,Tehama Bluffs,2837,5489,2017,6,115,34
Single Family Residential,1001 W Bluff Way,Roanoke,76262,615764,4,4,Fairway Ranch,3621,1,2017,182,170,0
Single Family Residential,1001 West Blf,Roanoke,76262,615764,4,3,Fairway Ranch,3621,8712,2017,66,170,55
Single Family Residential,10013 BODEGA BAY Rd,Fort Worth,76177,301048,4,2.5,Tehama Bluffs,2108,5489,2017,54,143,34
Single Family Residential,10016 TULE LAKE Rd,Fort Worth,76177,338414,5,3,Tehama Bluffs,2926,5489,2017,54,116,34
Single Family Residential,10017 Silent Hollow Dr,Fort Worth,76140,139000,3,2,Deer Creek North Add,1342,5489,2011,1,104,30
Single Family Residential,1002 Wayland Dr,Arlington,76012,299000,3,2.5,Timbercreek Estates,2105,15987,1976,1,142,0
Single Family Residential,10020 TULE LAKE Rd,Fort Worth,76177,325995,4,3.5,Tehama Bluffs,2853,5489,2017,7,114,34
Single Family Residential,10024 TULE LAKE Rd,Fort Worth,76177,315045,4,3,Tehama Bluffs,2527,5489,2017,54,125,34
Single Family Residential,10032 TULE LAKE Rd,Fort Worth,76177,326436,4,2.5,Tehama Bluffs,2805,5489,2017,7,116,34
Single Family Residential,10033 TULE LAKE Rd,Fort Worth,76177,300073,3,3,Tehama Bluffs,2276,1,2017,136,132,34
Single Family Residential,10036 BODEGA BAY Rd,Fort Worth,76177,328034,4,2.5,Tehama Bluffs,2811,5489,2017,7,117,34
Single Family Residential,1004 Highpoint,Roanoke,76262,602120,4,3,Fairway Ranch,3890,8712,2017,66,155,55
Single Family Residential,1006 Fern Dr,Mansfield,76063,225000,3,2,Fern Oak Add,2028,11238,2000,1,111,0
Single Family Residential,1006 Summit Ct,Burleson,76028,485900,5,4.5,Sierra Estates Add,5266,15377,1994,153,92,0
Single Family Residential,1008 Judy St,White Settlement,76108,175000,3,2,Sunview Add,1804,7405,2002,45,97,0
Single Family Residential,1008 Western Trl,Keller,76248,265000,4,3,Ranch Country Estates,2701,13155,1997,4,98,0
Single Family Residential,10088 Chapel Ridge Dr,Fort Worth,76116,209900,5,2,Chapel Ridge Add,2999,6970,2000,62,70,0
Single Family Residential,101 Daily Double Dr,Fort Worth,76126,425000,3,4.5,Legacy Pointe,3188,49658,2008,6,133,42
Single Family Residential,101 Spur Ct,Aledo,76008,395000,4,2.5,Prairie Ridge Add,3429,43560,2004,33,115,63
Single Family Residential,1011 N Ector Dr,Euless,76039,140000,3,2,Midway Park Add,1252,9322,1968,3,112,0
Single Family Residential,10112 Pack Saddle Trl,Fort Worth,76108,179000,3,2,Legacy West Add,2054,6926,1986,33,87,0
Single Family Residential,10113 Oldfield Ct,Fort Worth,76244,315000,4,2.5,Crawford Farms Add,2757,8407,2005,5,114,35
Single Family Residential,1012 Foxtail Ln,Crowley,76036,224000,5,2.5,Lasater Ranch,2992,9017,2005,25,75,17
Single Family Residential,1012 Merion Dr,Fort Worth,76028,407316,4,3.5,Thomas Crossing,3354,9148,2017,81,121,8
Single Family Residential,10120 Leatherwood Dr,Fort Worth,76108,155000,2,2,Legacy Village Add,1058,5401,1986,4,147,0
Single Family Residential,1013 Cimmaron Ct,Burleson,76028,349900,5,3.5,Sierra Estates,3473,17337,1997,19,101,0
Single Family Residential,10133 Blue Bell Dr,Fort Worth,76108,180000,4,2,Falcon Ridge,2050,6490,2013,3,88,0
Single Family Residential,10133 Chapel Hill Ct,Fort Worth,76116,199000,4,2.5,Chapel Ridge Add,2508,5750,1999,7,79,0
Single Family Residential,10141 Cougar Trl,Fort Worth,76108,174900,3,2,Amber Trails Fort Worth,1569,7405,2006,1,111,22
Single Family Residential,10145 Bull Run,Fort Worth,76177,225000,3,2,Tehama Ridge,1817,5489,2006,4,124,0
Single Family Residential,10149 Chapel Oak Trl,Fort Worth,76116,194700,4,2.5,Chapel Ridge Add,2659,8712,2001,8,73,0
Single Family Residential,1017 Linden Dr,Burleson,76028,259900,4,2.5,Mistletoe Hill Ph III,2479,8276,2009,3,105,50
Single Family Residential,10190 Meadowcrest Dr,Benbrook,76126,244900,4,2.5,Trail Ridge Sub,2097,12110,1989,4,117,0
Single Family Residential,102 E Cober Dr,Grand Prairie,75051,179900,3,2,Inglewood Terrace,1771,11674,1960,1,102,0
Single Family Residential,102 Grey Stone St,Aledo,76008,449900,4,3,Parks Of Aledo Ph,3350,7841,2015,74,134,48
Single Family Residential,1020 Telford,Crowley,76036,387500,4,3,Mayfair south,2933,1,2016,188,132,0
Single Family Residential,10201 Drop Tine Ct,Fort Worth,76126,699000,4,3.5,Deer Wood Forest Add,4290,47916,2006,75,163,42
Single Family Residential,10209 Cool Spring Dr,Fort Worth,76108,190000,4,3,Chapel Creek Ranch Add,2168,5489,1990,5,88,0
Single Family Residential,10209 Stubbs Trl,Fort Worth,76108,339000,4,3,Tejas Trails,2592,42689,1970,63,131,0
Single Family Residential,1021 Maidenhair Ln,Crowley,76036,169999,3,2,Lasater Ranch,1814,7797,2005,84,94,17
Single Family Residential,10229 Dawson Trl,Fort Worth,76108,179500,3,2.5,Westview Add,2055,5097,2001,7,87,0
Single Family Residential,10236 Lone Pine Ln,Fort Worth,76108,159900,4,2,Westpoint Add,1594,8451,1984,3,100,0
Single Family Residential,10244 Sunset View Dr,Fort Worth,76108,168000,3,2,Westpoint Add,1445,5576,1994,10,116,0
Single Family Residential,1025 Coury Rd,Everman,76140,139900,3,2,Everman Park Add,1267,9365,1967,5,110,0
Single Family Residential,10255 Mustang Wells Dr,Fort Worth,76126,348000,4,3,Mustang Pointe,2400,44431,2017,28,145,42
Single Family Residential,10298 Western Oaks Rd,Fort Worth,76108,4000000,3,2.5,Kisner  John Survey,3375,871200,2009,29,1185,0
Single Family Residential,103 Grey Stone St,Aledo,76008,569000,4,3.5,Parks of Aledo - Westview,3838,7405,2017,61,148,40
Single Family Residential,103 Oakbend Dr,Coppell,75019,535000,5,3.5,Oakbend,3788,10106,1994,3,141,29
Single Family Residential,10301 Mustang Wells Dr,Fort Worth,76126,358150,4,3,Mustang Pointe,2470,43996,2017,28,145,42
Single Family Residential,10333 Devin Ln,Fort Worth,76053,250000,4,2,Lakeview North Add,2244,7362,2004,1,111,0
Single Family Residential,1036 Breeders Cup Dr,Fort Worth,76179,215000,4,2.5,Remington Point Add,3090,5489,2003,1,70,28
Multi-Family (2-4 Unit),1036 Cottonwood Trl,Benbrook,76126,131000,2,2,Timber Creek Add,1210,5358,1983,14,108,0
Single Family Residential,1037 W Redbud Dr,Hurst,76053,299900,3,2.5,Hurst Hills Add,2169,8059,1992,4,138,0
Single Family Residential,1040 Mount Gilead Rd,Keller,76262,925000,4,3.5,Engel Parsons,3637,96268,2004,47,254,0
Single Family Residential,10404 Bing,White Settlement,76108,205000,3,2.5,Chapel Creek Ranch,2200,10890,1990,7,93,0
Single Family Residential,10425 Jaybird Dr,Fort Worth,76244,265000,5,3,Vista Meadows North,2792,5489,2006,4,95,33
Single Family Residential,10429 Bradshaw Dr,Fort Worth,76108,237900,4,2.5,Vista West,3145,8015,2006,13,76,40
Single Family Residential,1044 Blueberry Ct,Crowley,76036,292608,4,2.5,Deer Creek Estates,3048,14462,1998,32,96,53
Single Family Residential,1047 Glen Garden Dr,Roanoke,76262,696267,5,4.5,Fairway Ranch,4355,1,2016,103,160,56
Single Family Residential,1049 West Blf,Roanoke,76262,602485,4,3,Fairway Ranch,3684,8712,2017,66,164,55
Single Family Residential,105 Cora Ct,Reno,76082,325000,4,2,Springfield Estates,2221,43560,2012,4,146,0
Single Family Residential,105 Crown Valley Ct,Weatherford,76087,375000,5,4,Crown Valley Add,3923,8276,2011,19,96,30
Single Family Residential,105 Rosemeade Ct,Aledo,76008,438900,4,3,Rosemeade Addition,3132,87120,2017,4,140,0
Single Family Residential,105 St Elias Dr,Burleson,76028,374990,4,2.5,Hidden Vistas,3066,12153,2017,127,122,8
